"product_id","product_name","category","subcategory","unit_cost","list_price"
1001,Audio Product 01,Electronics,Audio,191.23,392.67
1002,Accessories Product 02,Electronics,Accessories,99.35,183.14
1003,Smart Home Product 03,Electronics,Smart Home,300.24,448.47
1004,Computing Product 04,Electronics,Computing,271.34,538.00
1005,Audio Product 05,Electronics,Audio,130.69,267.61
1006,Accessories Product 06,Electronics,Accessories,93.67,150.72
1007,Smart Home Product 07,Electronics,Smart Home,21.57,40.26
1008,Computing Product 08,Electronics,Computing,252.20,398.68
1009,Audio Product 09,Electronics,Audio,97.88,151.75
1010,Accessories Product 10,Electronics,Accessories,236.29,490.42
1011,Smart Home Product 11,Electronics,Smart Home,329.87,488.35
1012,Computing Product 12,Electronics,Computing,115.51,220.64
1013,Audio Product 13,Electronics,Audio,330.42,575.40
1014,Accessories Product 14,Electronics,Accessories,39.72,78.33
1015,Smart Home Product 15,Electronics,Smart Home,332.51,512.31
1016,Computing Product 16,Electronics,Computing,334.70,489.10
1017,Audio Product 17,Electronics,Audio,250.82,333.33
1018,Accessories Product 18,Electronics,Accessories,153.99,242.66
1019,Smart Home Product 19,Electronics,Smart Home,327.84,501.91
1020,Computing Product 20,Electronics,Computing,333.97,520.48
1021,Audio Product 21,Electronics,Audio,211.98,430.13
1022,Accessories Product 22,Electronics,Accessories,87.54,156.04
1023,Smart Home Product 23,Electronics,Smart Home,38.64,70.88
1024,Computing Product 24,Electronics,Computing,46.34,83.08
1025,Audio Product 25,Electronics,Audio,227.34,390.52
1026,Accessories Product 26,Electronics,Accessories,128.12,237.85
1027,Smart Home Product 27,Electronics,Smart Home,132.50,178.51
1028,Computing Product 28,Electronics,Computing,258.67,397.62
1029,Audio Product 29,Electronics,Audio,84.42,123.40
1030,Accessories Product 30,Electronics,Accessories,69.74,118.96
1031,Smart Home Product 31,Electronics,Smart Home,391.55,593.98
1032,Computing Product 32,Electronics,Computing,231.90,345.25
1033,Audio Product 33,Electronics,Audio,355.36,509.64
1034,Accessories Product 34,Electronics,Accessories,76.62,156.70
1035,Smart Home Product 35,Electronics,Smart Home,114.54,206.39
1036,Computing Product 36,Electronics,Computing,108.86,146.32
1037,Audio Product 37,Electronics,Audio,300.48,528.91
1038,Accessories Product 38,Electronics,Accessories,237.42,401.88
1039,Smart Home Product 39,Electronics,Smart Home,335.19,550.86
1040,Computing Product 40,Electronics,Computing,97.35,177.31
1041,Kitchen Product 01,Home,Kitchen,80.12,144.73
1042,Storage Product 02,Home,Storage,109.93,150.30
1043,Decor Product 03,Home,Decor,57.31,105.86
1044,Cleaning Product 04,Home,Cleaning,155.30,249.41
1045,Kitchen Product 05,Home,Kitchen,15.69,31.82
1046,Storage Product 06,Home,Storage,23.81,36.32
1047,Decor Product 07,Home,Decor,119.70,200.10
1048,Cleaning Product 08,Home,Cleaning,14.82,25.25
1049,Kitchen Product 09,Home,Kitchen,156.45,249.07
1050,Storage Product 10,Home,Storage,175.25,243.06
1051,Decor Product 11,Home,Decor,8.70,12.76
1052,Cleaning Product 12,Home,Cleaning,109.44,173.61
1053,Kitchen Product 13,Home,Kitchen,48.83,74.04
1054,Storage Product 14,Home,Storage,22.13,36.77
1055,Decor Product 15,Home,Decor,88.82,118.89
1056,Cleaning Product 16,Home,Cleaning,121.94,220.20
1057,Kitchen Product 17,Home,Kitchen,68.98,130.14
1058,Storage Product 18,Home,Storage,165.76,229.03
1059,Decor Product 19,Home,Decor,53.79,81.63
1060,Cleaning Product 20,Home,Cleaning,81.63,156.15
1061,Kitchen Product 21,Home,Kitchen,121.79,193.00
1062,Storage Product 22,Home,Storage,123.73,196.87
1063,Decor Product 23,Home,Decor,5.79,10.14
1064,Cleaning Product 24,Home,Cleaning,10.86,14.67
1065,Kitchen Product 25,Home,Kitchen,157.47,220.89
1066,Storage Product 26,Home,Storage,41.58,83.80
1067,Decor Product 27,Home,Decor,164.47,220.72
